               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.03584,            0.020199,                   0,              0.8966,             0.45455,             0.64391,             0.37484,            0.037181,            0.013063,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.03727,            0.020201,                   0,             0.82966,             0.63636,             0.68231,             0.38312,            0.036865,            0.012901,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.037458,            0.020267,                   0,             0.68085,             0.77757,             0.72633,             0.37825,            0.038588,            0.013135,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.035754,            0.018854,                   0,             0.61239,             0.57643,             0.68053,             0.38661,            0.041066,            0.013235,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.035423,            0.019228,                   0,             0.59516,             0.63636,             0.58853,             0.33922,            0.044268,            0.013251,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.037514,            0.019489,                   0,             0.47185,              0.6505,             0.58114,             0.39246,            0.038882,            0.013542,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.035413,            0.020705,                   0,              0.7204,             0.54545,             0.67206,             0.43133,            0.038891,            0.013021,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.037701,            0.019417,                   0,             0.92345,             0.54545,             0.71985,             0.38248,             0.04013,            0.012694,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.036448,             0.01974,                   0,             0.78717,             0.67479,             0.72307,              0.4378,            0.041491,            0.012917,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.035044,            0.018534,                   0,             0.66329,             0.72727,             0.70451,             0.43116,            0.039326,            0.013358,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.035566,            0.020259,                   0,             0.74793,             0.72727,              0.7366,             0.43231,            0.037646,            0.013155,                   0,            0.000298,            0.000298,            0.000298
