               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.044569,            0.010679,                   0,              0.4466,             0.63158,             0.56253,              0.3335,            0.041236,           0.0048081,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.045506,            0.010269,                   0,             0.45524,             0.42105,             0.46473,             0.26775,            0.041741,           0.0050974,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.046201,            0.010531,                   0,             0.49107,             0.47368,             0.44125,             0.26114,            0.045604,           0.0046599,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.047281,            0.010788,                   0,             0.55226,             0.31579,             0.28652,             0.15779,            0.059657,           0.0046449,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.043023,            0.010056,                   0,             0.65988,              0.5113,              0.5509,             0.33885,            0.042379,           0.0045543,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.044732,            0.010603,                   0,             0.82482,             0.36842,             0.41605,             0.17773,            0.054927,           0.0044254,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.043493,            0.010158,                   0,             0.76879,             0.52511,             0.55281,             0.26929,            0.045583,           0.0047175,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.042349,            0.009982,                   0,              0.4408,             0.47368,             0.52632,             0.26477,            0.042532,           0.0050638,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.043028,           0.0096441,                   0,             0.50409,             0.52632,             0.50277,             0.27755,            0.042131,           0.0045301,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.042681,           0.0096107,                   0,             0.55257,             0.71552,             0.64587,             0.36778,            0.035611,           0.0045976,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.04133,           0.0093036,                   0,             0.61931,             0.36842,             0.53423,             0.35031,            0.038148,           0.0048359,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.041604,            0.010293,                   0,             0.45984,             0.68421,             0.54615,             0.29634,            0.042799,           0.0044828,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.042192,           0.0097851,                   0,             0.50846,             0.42105,             0.48885,             0.24292,            0.043003,           0.0046766,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.041656,           0.0096776,                   0,             0.64604,             0.73684,             0.64709,             0.30311,            0.042632,           0.0048005,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.039057,           0.0097057,                   0,             0.50419,             0.57895,             0.52889,             0.29388,            0.046779,           0.0041103,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.040453,           0.0095707,                   0,             0.74184,             0.60581,             0.56435,             0.27459,            0.041998,           0.0043569,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.04053,           0.0092457,                   0,             0.56501,             0.47881,             0.41015,             0.18692,             0.04926,           0.0043935,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.042156,           0.0093712,                   0,             0.88939,             0.47368,             0.70942,             0.46624,            0.036666,           0.0041091,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.039914,           0.0089468,                   0,             0.69946,             0.63158,             0.68406,             0.36508,             0.04055,           0.0040706,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.041354,           0.0099994,                   0,             0.64472,             0.57337,             0.55188,             0.27279,            0.046283,           0.0042118,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.04015,            0.009225,                   0,             0.61025,             0.68421,             0.69901,             0.32378,            0.041131,           0.0043162,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.040219,            0.008805,                   0,             0.67805,             0.66573,             0.69851,             0.39756,            0.038492,            0.004243,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.039347,           0.0087517,                   0,             0.85801,             0.63158,              0.6753,             0.30588,            0.045486,           0.0042074,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.038406,           0.0090788,                   0,             0.67825,             0.66634,             0.60872,              0.3398,            0.036976,           0.0043607,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.039253,           0.0085535,                   0,             0.74368,             0.61162,              0.6562,             0.33124,            0.041004,           0.0041151,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.039174,           0.0088873,                   0,             0.63378,             0.52632,             0.58365,             0.36178,            0.037645,           0.0043403,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.035978,           0.0085475,                   0,             0.91905,             0.57895,             0.72633,             0.34751,            0.040774,           0.0043286,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.040745,           0.0087727,                   0,             0.76429,             0.68273,             0.71011,             0.39545,            0.041656,             0.00397,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.039603,           0.0090186,                   0,              0.6471,             0.67592,             0.63777,             0.36472,            0.037817,           0.0040786,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.036917,           0.0091804,                   0,             0.64846,             0.48607,              0.5287,             0.33853,            0.039301,             0.00427,                   0,            0.006931,            0.006931,            0.006931
